AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|R|GUAYAS|NARANJITO|9800,0000|0,0000|0,0000|0,0000|0,0000|1980,0000|0,0000|0,0000|0,0000|1980,0000|9800,0000
2025|1|O|IMBABURA|OTAVALO|70476,9700|198412,3100|0,0000|1730,0500|0,0000|73361,5800|56871,4300|0,0000|18417,6300|150807,9700|270619,3300
2025|1|R|EL ORO|MACHALA|838483,8300|18746,2500|0,0000|0,0000|0,0000|625781,0200|189716,1200|0,0000|29574,1300|846363,1000|857230,0800
2025|1|Q|CARCHI|MONTUFAR|2193,6200|23761,7200|0,0000|0,0000|0,0000|3415,7900|18241,5000|0,0000|0,0000|21657,2900|25955,3400
2025|1|L|ZAMORA CHINCHIPE|NANGARITZA|2000,0000|0,0100|0,0000|0,0000|0,0000|2233,5300|0,0000|0,0000|0,0000|2233,5300|2000,0100
2025|1|N|GUAYAS|MILAGRO|599004,3500|112491,3600|0,0000|0,0000|0,0000|553889,2400|49068,3200|0,0000|1745,5000|605416,6000|711495,7100
2025|1|H|AZUAY|OÑA|431,3800|4129,5700|0,0000|0,0000|0,0000|1400,3300|0,0000|0,0000|280,0000|1680,3300|4560,9500
2025|1|L|ZAMORA CHINCHIPE|CHINCHIPE|3676,0200|1180,0000|0,0000|0,0000|0,0000|1140,2900|2,0000|0,0000|0,0000|1142,2900|4856,0200
2025|1|A|LOS RIOS|QUINSALOMA|40943,1600|4447266,1800|0,0000|0,0000|0,0000|146424,9600|2071898,2000|0,0000|9347,1200|2227870,8400|4488209,3400
2025|1|C|EL ORO|EL GUABO|519623,0200|79427,0100|0,0000|3244,8100|1213652,2000|656800,4300|472038,3500|171518,4700|19528,9300|1343804,6800|1815947,0400
2025|1|O|ESMERALDAS|ESMERALDAS|182954,2800|234793,0700|0,0000|0,0000|0,0000|2332088,7600|270165,6300|0,0000|895,0000|2603149,3900|417747,3500
2025|1|I|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|973,0000|2262,0200|0,0000|0,0000|0,0000|2570,5500|2446,7500|0,0000|0,0000|5017,3000|3235,0200
2025|1|N|GUAYAS|SALITRE|6085,4400|0,1000|0,0000|0,0000|0,0000|31029,2500|2642,8400|0,0000|459,0000|34131,0900|6085,5400
